team,sum_salary,today,year
Minnesota,42642272,80608510,1999
San Antonio,42529801,80395901,1999
Detroit,42141801,79662444,1999
Orlando,41586801,78613302,1999
Denver,40677095,76893654,1999
Sacramento,40113125,75827554,1999
Dallas,40014500,75641119,1999
Charlotte,38619012,73003169,1999
Oklahoma City,38258910,72322453,1999
Memphis,37432688,70760610,1999
Golden State,36133518,68304731,1999
Toronto,34730320,65652208,1999
Chicago,27032368,51100433,1999
LA Clippers,22489343,42512562,1999
Cleveland,108300458,142581211,2015
LA Clippers,97019321,127729210,2015
Oklahoma City,95708387,126003321,2015
Golden State,93669566,123319143,2015
San Antonio,87832839,115634895,2015
Houston,87504058,115202044,2015
Chicago,87073838,114635645,2015
Miami,85764781,112912227,2015
Washington,85055155,111977978,2015
New Orleans,83709371,110206207,2015
Memphis,83223881,109567043,2015
Brooklyn,80258302,105662759,2015
Detroit,77256014,101710148,2015
Boston,77141919,101559937,2015
Charlotte,76860006,101188788,2015
Dallas,75397067,99262779,2015
New York,74237021,97735540,2015
Milwaukee,73843541,97217512,2015
LA Lakers,72694352,95704564,2015
Denver,72589023,95565893,2015
Minnesota,72287243,95168593,2015
Atlanta,71661760,94345122,2015
Indiana,71605233,94270703,2015
Toronto,71591189,94252213,2015
Sacramento,70610560,92961183,2015
Phoenix,68095365,89649840,2015
Philadelphia,64583220,85025979,2015
Utah,63608425,83742634,2015
Orlando,63199651,83204468,2015
Portland,61685814,81211451,2015
95122335,3107143,3107143,2024
118840116,86055603,0,2024
213553149,179367723,71446822,2024
146981267,91692629,0,2024
13285714,0,0,2024
66821676,0,0,2024
163334957,99618645,0,2024
87619026,0,0,2024
23523485,0,0,2024
56090089,60244910,0,2024
105217102,31000000,0,2024
20998320,0,0,2024
13050000,0,0,2024
164471089,115459301,0,2024
119252334,80440508,51033444,2024
71490451,0,0,2024
176568206,80420508,51033444,2024
43582280,46394040,0,2024
20943184,0,0,2024
62880000,30000000,30000000,2024
73339450,39036697,39036697,2024
153420792,55672848,0,2024
48556822,0,0,2024
18000000,18000000,0,2024
28988975,22446480,0,2024
87053440,44886930,0,2024
24652174,27000000,0,2024
52613896,53536209,0,2024
108497732,89740508,77733444,2024
44847572,47940508,51033444,2024
Dallas,101694879,153346197,2007
New York,96190114,145045534,2007
Denver,82958227,125093110,2007
Cleveland,82217583,123976286,2007
Miami,74767603,112742426,2007
Boston,74509455,112353166,2007
Philadelphia,74038229,111642599,2007
Portland,73241335,110440960,2007
LA Lakers,72626796,109514294,2007
Phoenix,71323049,107548369,2007
San Antonio,70048523,105626500,2007
Houston,69894114,105393668,2007
Minnesota,69043895,104111617,2007
Indiana,66260246,99914141,2007
Toronto,66042375,99585611,2007
Detroit,65898875,99369227,2007
Washington,65278996,98434512,2007
Utah,64959089,97952121,2007
LA Clippers,64847945,97784525,2007
Sacramento,63403225,95606024,2007
Chicago,63084166,95124917,2007
New Orleans,62609991,94409903,2007
Milwaukee,62571522,94351897,2007
Golden State,62148303,93713720,2007
Brooklyn,61836211,93243117,2007
Oklahoma City,60861388,91773175,2007
Orlando,58165973,87708746,2007
Atlanta,55501133,83690424,2007
Memphis,54118526,81605579,2007
Charlotte,53745468,81043047,2007
