player,player_id,team,season,lg,replaced,full_team_name
Domantas Sabonis,,East,2021,NBA,FALSE,Indiana Pacers
Jayson Tatum,,East,2021,NBA,FALSE,Boston Celtics
Nikola Vu?evi?,,East,2021,NBA,FALSE,Orlando Magic
Stephen Curry,,West,2021,NBA,FALSE,Golden State Warriors
Luka Don?i?,,West,2021,NBA,FALSE,Dallas Mavericks
LeBron James,,West,2021,NBA,FALSE,Los Angeles Lakers
Kawhi Leonard,,West,2021,NBA,FALSE,Los Angeles Clippers
Nikola Joki?,,West,2021,NBA,FALSE,Denver Nuggets
Devin Booker,,West,2021,NBA,FALSE,Phoenix Suns
Mike Conley,,West,2021,NBA,FALSE,Utah Jazz
Damian Lillard,,West,2021,NBA,FALSE,Portland Trail Blazers
Donovan Mitchell,,West,2021,NBA,FALSE,Utah Jazz
Chris Paul,,West,2021,NBA,FALSE,Phoenix Suns
Anthony Davis,,West,2021,NBA,FALSE,Los Angeles Lakers
Paul George,,West,2021,NBA,TRUE,Los Angeles Clippers
Zion Williamson,,West,2021,NBA,,New Orleans Pelicans
Rudy Gobert,,West,2021,NBA,,Utah Jazz
Bam Adebayo,adebaba01,East,2020,NBA,FALSE,Miami Heat
Giannis Antetokounmpo,antetgi01,East,2020,NBA,FALSE,Milwaukee Bucks
Jimmy Butler,butleji01,East,2020,NBA,FALSE,Golden State Warriors
Joel Embiid,embiijo01,East,2020,NBA,FALSE,Philadelphia 76ers
Rudy Gobert,goberru01,East,2020,NBA,FALSE,Minnesota Timberwolves
Brandon Ingram,ingrabr01,East,2020,NBA,FALSE,Toronto Raptors
Kyle Lowry,lowryky01,East,2020,NBA,FALSE,Philadelphia 76ers
Khris Middleton,middlkh01,East,2020,NBA,FALSE,Washington Wizards
Donovan Mitchell,mitchdo01,East,2020,NBA,FALSE,Cleveland Cavaliers
Pascal Siakam,siakapa01,East,2020,NBA,FALSE,Indiana Pacers
Kemba Walker,walkeke02,East,2020,NBA,FALSE,Dallas Mavericks
Trae Young,youngtr01,East,2020,NBA,FALSE,Atlanta Hawks
Devin Booker,bookede01,West,2020,NBA,FALSE,Phoenix Suns
Anthony Davis,davisan02,West,2020,NBA,FALSE,Dallas Mavericks
Luka Dončić,doncilu01,West,2020,NBA,FALSE,Los Angeles Lakers
James Harden,hardeja01,West,2020,NBA,FALSE,Los Angeles Clippers
