player,player_id,team,season,lg,replaced,full_team_name
Chauncey Billups,billuch01,West,2010,NBA,TRUE,Detroit Pistons
Kobe Bryant,bryanko01,West,2010,NBA,TRUE,Los Angeles Lakers
Tim Duncan,duncati01,West,2010,NBA,FALSE,San Antonio Spurs
Kevin Durant,duranke01,West,2010,NBA,FALSE,Houston Rockets
Pau Gasol,gasolpa01,West,2010,NBA,FALSE,
Chris Kaman,kamanch01,West,2010,NBA,TRUE,Portland Trail Blazers
Jason Kidd,kiddja01,West,2010,NBA,TRUE,New York Knicks
Steve Nash,nashst01,West,2010,NBA,FALSE,Los Angeles Lakers
Dirk Nowitzki,nowitdi01,West,2010,NBA,FALSE,Dallas Mavericks
Chris Paul,paulch01,West,2010,NBA,TRUE,Los Angeles Clippers
Zach Randolph,randoza01,West,2010,NBA,FALSE,Sacramento Kings
Brandon Roy,roybr01,West,2010,NBA,TRUE,Minnesota Timberwolves
Amar'e Stoudemire,stoudam01,West,2010,NBA,FALSE,Miami Heat
Deron Williams,willide01,West,2010,NBA,FALSE,
Ray Allen,allenra02,East,2009,NBA,FALSE,Miami Heat
Chris Bosh,boshch01,East,2009,NBA,TRUE,Miami Heat
Kevin Garnett,garneke01,East,2009,NBA,FALSE,Minnesota Timberwolves
Danny Granger,grangda01,East,2009,NBA,FALSE,Miami Heat
Devin Harris,harride01,East,2009,NBA,FALSE,Dallas Mavericks
Dwight Howard,howardw01,East,2009,NBA,FALSE,Los Angeles Lakers
Allen Iverson,iversal01,East,2009,NBA,FALSE,
LeBron James,jamesle01,East,2009,NBA,FALSE,Los Angeles Lakers
Joe Johnson,johnsjo02,East,2009,NBA,FALSE,Boston Celtics
Rashard Lewis,lewisra02,East,2009,NBA,FALSE,Miami Heat
Jameer Nelson,nelsoja01,East,2009,NBA,TRUE,
Paul Pierce,piercpa01,East,2009,NBA,FALSE,Los Angeles Clippers
Dwyane Wade,wadedw01,East,2009,NBA,FALSE,Miami Heat
Mo Williams,willima01,East,2009,NBA,TRUE,Cleveland Cavaliers
Chauncey Billups,billuch01,West,2009,NBA,FALSE,Detroit Pistons
Kobe Bryant,bryanko01,West,2009,NBA,FALSE,Los Angeles Lakers
Tim Duncan,duncati01,West,2009,NBA,FALSE,San Antonio Spurs
Pau Gasol,gasolpa01,West,2009,NBA,FALSE,
Yao Ming,mingya01,West,2009,NBA,FALSE,Houston Rockets
Dirk Nowitzki,nowitdi01,West,2009,NBA,FALSE,Dallas Mavericks
Shaquille O'Neal,onealsh01,West,2009,NBA,FALSE,Boston Celtics
Tony Parker,parketo01,West,2009,NBA,FALSE,Charlotte Hornets
Chris Paul,paulch01,West,2009,NBA,FALSE,Los Angeles Clippers
Brandon Roy,roybr01,West,2009,NBA,FALSE,Minnesota Timberwolves
Amar'e Stoudemire,stoudam01,West,2009,NBA,FALSE,Miami Heat
David West,westda01,West,2009,NBA,FALSE,Golden State Warriors
Ray Allen,allenra02,East,2008,NBA,TRUE,Miami Heat
Chauncey Billups,billuch01,East,2008,NBA,FALSE,Detroit Pistons
Chris Bosh,boshch01,East,2008,NBA,FALSE,Miami Heat
Caron Butler,butleca01,East,2008,NBA,TRUE,Sacramento Kings
Kevin Garnett,garneke01,East,2008,NBA,TRUE,Minnesota Timberwolves
Richard Hamilton,hamilri01,East,2008,NBA,FALSE,Chicago Bulls
Dwight Howard,howardw01,East,2008,NBA,FALSE,Los Angeles Lakers
LeBron James,jamesle01,East,2008,NBA,FALSE,Los Angeles Lakers
Antawn Jamison,jamisan01,East,2008,NBA,FALSE,Los Angeles Clippers
Joe Johnson,johnsjo02,East,2008,NBA,FALSE,Boston Celtics
Jason Kidd,kiddja01,East,2008,NBA,FALSE,New York Knicks
Paul Pierce,piercpa01,East,2008,NBA,FALSE,Los Angeles Clippers
Dwyane Wade,wadedw01,East,2008,NBA,FALSE,Miami Heat
Rasheed Wallace,wallara01,East,2008,NBA,TRUE,New York Knicks
Carmelo Anthony,anthoca01,West,2008,NBA,FALSE,Los Angeles Lakers
Carlos Boozer,boozeca01,West,2008,NBA,FALSE,Los Angeles Lakers
Kobe Bryant,bryanko01,West,2008,NBA,FALSE,Los Angeles Lakers
Tim Duncan,duncati01,West,2008,NBA,FALSE,San Antonio Spurs
Allen Iverson,iversal01,West,2008,NBA,FALSE,
Yao Ming,mingya01,West,2008,NBA,FALSE,Houston Rockets
Steve Nash,nashst01,West,2008,NBA,FALSE,Los Angeles Lakers
Dirk Nowitzki,nowitdi01,West,2008,NBA,FALSE,Dallas Mavericks
Chris Paul,paulch01,West,2008,NBA,FALSE,Los Angeles Clippers
Brandon Roy,roybr01,West,2008,NBA,FALSE,Minnesota Timberwolves
Amar'e Stoudemire,stoudam01,West,2008,NBA,FALSE,Miami Heat
David West,westda01,West,2008,NBA,FALSE,Golden State Warriors
Gilbert Arenas,arenagi01,East,2007,NBA,FALSE,Memphis Grizzlies
Chauncey Billups,billuch01,East,2007,NBA,FALSE,Detroit Pistons
Chris Bosh,boshch01,East,2007,NBA,FALSE,Miami Heat
Caron Butler,butleca01,East,2007,NBA,FALSE,Sacramento Kings
Vince Carter,cartevi01,East,2007,NBA,FALSE,Atlanta Hawks
Richard Hamilton,hamilri01,East,2007,NBA,FALSE,Chicago Bulls
Dwight Howard,howardw01,East,2007,NBA,FALSE,Los Angeles Lakers
LeBron James,jamesle01,East,2007,NBA,FALSE,Los Angeles Lakers
Joe Johnson,johnsjo02,East,2007,NBA,TRUE,Boston Celtics
Jason Kidd,kiddja01,East,2007,NBA,TRUE,New York Knicks
Jermaine O'Neal,onealje01,East,2007,NBA,FALSE,Golden State Warriors
Shaquille O'Neal,onealsh01,East,2007,NBA,FALSE,Boston Celtics
Dwyane Wade,wadedw01,East,2007,NBA,FALSE,Miami Heat
Ray Allen,allenra02,West,2007,NBA,TRUE,Miami Heat
Carmelo Anthony,anthoca01,West,2007,NBA,TRUE,Los Angeles Lakers
Carlos Boozer,boozeca01,West,2007,NBA,TRUE,Los Angeles Lakers
Kobe Bryant,bryanko01,West,2007,NBA,FALSE,Los Angeles Lakers
Tim Duncan,duncati01,West,2007,NBA,FALSE,San Antonio Spurs
Kevin Garnett,garneke01,West,2007,NBA,FALSE,Minnesota Timberwolves
Josh Howard,howarjo01,West,2007,NBA,TRUE,Minnesota Timberwolves
Allen Iverson,iversal01,West,2007,NBA,TRUE,
Shawn Marion,mariosh01,West,2007,NBA,FALSE,Cleveland Cavaliers
Tracy McGrady,mcgratr01,West,2007,NBA,FALSE,Atlanta Hawks
Yao Ming,mingya01,West,2007,NBA,TRUE,Houston Rockets
Steve Nash,nashst01,West,2007,NBA,TRUE,Los Angeles Lakers
Dirk Nowitzki,nowitdi01,West,2007,NBA,FALSE,Dallas Mavericks
Mehmet Okur ,okurme01,West,2007,NBA,TRUE,New Jersey Nets
Tony Parker,parketo01,West,2007,NBA,FALSE,Charlotte Hornets
Amar'e Stoudemire,stoudam01,West,2007,NBA,FALSE,Miami Heat
Gilbert Arenas,arenagi01,East,2006,NBA,TRUE,Memphis Grizzlies
Chauncey Billups,billuch01,East,2006,NBA,FALSE,Detroit Pistons
Chris Bosh,boshch01,East,2006,NBA,FALSE,Miami Heat
Vince Carter,cartevi01,East,2006,NBA,FALSE,Atlanta Hawks
Richard Hamilton,hamilri01,East,2006,NBA,FALSE,Chicago Bulls
Allen Iverson,iversal01,East,2006,NBA,FALSE,
LeBron James,jamesle01,East,2006,NBA,FALSE,Los Angeles Lakers
Jermaine O'Neal,onealje01,East,2006,NBA,TRUE,Golden State Warriors
Shaquille O'Neal,onealsh01,East,2006,NBA,FALSE,Boston Celtics
Paul Pierce,piercpa01,East,2006,NBA,FALSE,Los Angeles Clippers
Dwyane Wade,wadedw01,East,2006,NBA,FALSE,Miami Heat
Ben Wallace,wallabe01,East,2006,NBA,FALSE,Detroit Pistons
Rasheed Wallace,wallara01,East,2006,NBA,FALSE,New York Knicks
Ray Allen,allenra02,West,2006,NBA,FALSE,Miami Heat
Elton Brand,brandel01,West,2006,NBA,FALSE,Philadelphia 76ers
Kobe Bryant,bryanko01,West,2006,NBA,FALSE,Los Angeles Lakers
Tim Duncan,duncati01,West,2006,NBA,FALSE,San Antonio Spurs
Kevin Garnett,garneke01,West,2006,NBA,FALSE,Minnesota Timberwolves
Pau Gasol,gasolpa01,West,2006,NBA,FALSE,
Shawn Marion,mariosh01,West,2006,NBA,FALSE,Cleveland Cavaliers
Tracy McGrady,mcgratr01,West,2006,NBA,FALSE,Atlanta Hawks
Yao Ming,mingya01,West,2006,NBA,FALSE,Houston Rockets
Steve Nash,nashst01,West,2006,NBA,FALSE,Los Angeles Lakers
Dirk Nowitzki,nowitdi01,West,2006,NBA,FALSE,Dallas Mavericks
Tony Parker,parketo01,West,2006,NBA,FALSE,Charlotte Hornets
Gilbert Arenas,arenagi01,East,2005,NBA,FALSE,Memphis Grizzlies
Vince Carter,cartevi01,East,2005,NBA,FALSE,Atlanta Hawks
Grant Hill,hillgr01,East,2005,NBA,FALSE,Los Angeles Clippers
Zydrunas Ilgauskas,ilgauzy01,East,2005,NBA,FALSE,Miami Heat
Allen Iverson,iversal01,East,2005,NBA,FALSE,
LeBron James,jamesle01,East,2005,NBA,FALSE,Los Angeles Lakers
Antawn Jamison,jamisan01,East,2005,NBA,FALSE,Los Angeles Clippers
Jermaine O'Neal,onealje01,East,2005,NBA,FALSE,Golden State Warriors
Shaquille O'Neal,onealsh01,East,2005,NBA,FALSE,Boston Celtics
Paul Pierce,piercpa01,East,2005,NBA,FALSE,Los Angeles Clippers
Dwyane Wade,wadedw01,East,2005,NBA,FALSE,Miami Heat
Ben Wallace,wallabe01,East,2005,NBA,FALSE,Detroit Pistons
Ray Allen,allenra02,West,2005,NBA,FALSE,Miami Heat
Kobe Bryant,bryanko01,West,2005,NBA,FALSE,Los Angeles Lakers
Tim Duncan,duncati01,West,2005,NBA,FALSE,San Antonio Spurs
Kevin Garnett,garneke01,West,2005,NBA,FALSE,Minnesota Timberwolves
Manu Ginóbili,ginobma01,West,2005,NBA,FALSE,San Antonio Spurs
Rashard Lewis,lewisra02,West,2005,NBA,FALSE,Miami Heat
Shawn Marion,mariosh01,West,2005,NBA,FALSE,Cleveland Cavaliers
Tracy McGrady,mcgratr01,West,2005,NBA,FALSE,Atlanta Hawks
Yao Ming,mingya01,West,2005,NBA,FALSE,Houston Rockets
Steve Nash,nashst01,West,2005,NBA,FALSE,Los Angeles Lakers
Dirk Nowitzki,nowitdi01,West,2005,NBA,FALSE,Dallas Mavericks
Amar'e Stoudemire,stoudam01,West,2005,NBA,FALSE,Miami Heat
Metta World Peace,artesro01,East,2004,NBA,FALSE,Los Angeles Lakers
Vince Carter,cartevi01,East,2004,NBA,FALSE,Atlanta Hawks
Baron Davis,davisba01,East,2004,NBA,FALSE,New York Knicks
Allen Iverson,iversal01,East,2004,NBA,FALSE,
Jason Kidd,kiddja01,East,2004,NBA,FALSE,New York Knicks
Jamaal Magloire,magloja01,East,2004,NBA,FALSE,Toronto Raptors
Kenyon Martin,martike01,East,2004,NBA,FALSE,Milwaukee Bucks
Tracy McGrady,mcgratr01,East,2004,NBA,FALSE,Atlanta Hawks
Jermaine O'Neal,onealje01,East,2004,NBA,FALSE,Golden State Warriors
Paul Pierce,piercpa01,East,2004,NBA,FALSE,Los Angeles Clippers
Michael Redd,reddmi01,East,2004,NBA,FALSE,Phoenix Suns
Ben Wallace,wallabe01,East,2004,NBA,FALSE,Detroit Pistons
Ray Allen,allenra02,West,2004,NBA,FALSE,Miami Heat
Kobe Bryant,bryanko01,West,2004,NBA,FALSE,Los Angeles Lakers
Sam Cassell,cassesa01,West,2004,NBA,FALSE,
Tim Duncan,duncati01,West,2004,NBA,FALSE,San Antonio Spurs
Steve Francis,francst01,West,2004,NBA,FALSE,Houston Rockets
Kevin Garnett,garneke01,West,2004,NBA,FALSE,Minnesota Timberwolves
Andrei Kirilenko,kirilan01,West,2004,NBA,FALSE,Brooklyn Nets
Brad Miller,millebr01,West,2004,NBA,FALSE,Minnesota Timberwolves
Yao Ming,mingya01,West,2004,NBA,FALSE,Houston Rockets
Dirk Nowitzki,nowitdi01,West,2004,NBA,FALSE,Dallas Mavericks
Shaquille O'Neal,onealsh01,West,2004,NBA,FALSE,Boston Celtics
Peja Stojaković,stojape01,West,2004,NBA,FALSE,
Vince Carter,cartevi01,East,2003,NBA,FALSE,Atlanta Hawks
Zydrunas Ilgauskas,ilgauzy01,East,2003,NBA,FALSE,Miami Heat
Allen Iverson,iversal01,East,2003,NBA,FALSE,
Michael Jordan,jordami01,East,2003,NBA,FALSE,Washington Wizards
Jason Kidd,kiddja01,East,2003,NBA,FALSE,New York Knicks
Jamal Mashburn,mashbja01,East,2003,NBA,FALSE,New Orleans Hornets
Tracy McGrady,mcgratr01,East,2003,NBA,FALSE,Atlanta Hawks
Brad Miller,millebr01,East,2003,NBA,FALSE,Minnesota Timberwolves
Jermaine O'Neal,onealje01,East,2003,NBA,FALSE,Golden State Warriors
Paul Pierce,piercpa01,East,2003,NBA,FALSE,Los Angeles Clippers
Antoine Walker,walkean02,East,2003,NBA,FALSE,Minnesota Timberwolves
Ben Wallace,wallabe01,East,2003,NBA,FALSE,Detroit Pistons
Kobe Bryant,bryanko01,West,2003,NBA,FALSE,Los Angeles Lakers
Tim Duncan,duncati01,West,2003,NBA,FALSE,San Antonio Spurs
Steve Francis,francst01,West,2003,NBA,FALSE,Houston Rockets
Kevin Garnett,garneke01,West,2003,NBA,FALSE,Minnesota Timberwolves
Stephon Marbury,marbust01,West,2003,NBA,FALSE,Boston Celtics
Shawn Marion,mariosh01,West,2003,NBA,FALSE,Cleveland Cavaliers
Yao Ming,mingya01,West,2003,NBA,FALSE,Houston Rockets
Steve Nash,nashst01,West,2003,NBA,FALSE,Los Angeles Lakers
Dirk Nowitzki,nowitdi01,West,2003,NBA,FALSE,Dallas Mavericks
Shaquille O'Neal,onealsh01,West,2003,NBA,FALSE,Boston Celtics
Gary Payton,paytoga01,West,2003,NBA,FALSE,Miami Heat
Peja Stojaković,stojape01,West,2003,NBA,TRUE,
Chris Webber,webbech01,West,2003,NBA,TRUE,Golden State Warriors
Shareef Abdur-Rahim,abdursh01,East,2002,NBA,FALSE,Sacramento Kings
Ray Allen,allenra02,East,2002,NBA,FALSE,Miami Heat
Vince Carter,cartevi01,East,2002,NBA,TRUE,Atlanta Hawks
Baron Davis,davisba01,East,2002,NBA,TRUE,New York Knicks
Allen Iverson,iversal01,East,2002,NBA,FALSE,
Michael Jordan,jordami01,East,2002,NBA,FALSE,Washington Wizards
Jason Kidd,kiddja01,East,2002,NBA,FALSE,New York Knicks
Tracy McGrady,mcgratr01,East,2002,NBA,FALSE,Atlanta Hawks
Alonzo Mourning,mournal01,East,2002,NBA,FALSE,Miami Heat
Dikembe Mutombo,mutomdi01,East,2002,NBA,FALSE,Houston Rockets
Jermaine O'Neal,onealje01,East,2002,NBA,FALSE,Golden State Warriors
Paul Pierce,piercpa01,East,2002,NBA,FALSE,Los Angeles Clippers
Antoine Walker,walkean02,East,2002,NBA,FALSE,Minnesota Timberwolves
Elton Brand,brandel01,West,2002,NBA,TRUE,Philadelphia 76ers
Kobe Bryant,bryanko01,West,2002,NBA,FALSE,Los Angeles Lakers
Tim Duncan,duncati01,West,2002,NBA,FALSE,San Antonio Spurs
Steve Francis,francst01,West,2002,NBA,FALSE,Houston Rockets
Kevin Garnett,garneke01,West,2002,NBA,FALSE,Minnesota Timberwolves
Karl Malone,malonka01,West,2002,NBA,TRUE,Los Angeles Lakers
Steve Nash,nashst01,West,2002,NBA,FALSE,Los Angeles Lakers
Dirk Nowitzki,nowitdi01,West,2002,NBA,FALSE,Dallas Mavericks
Shaquille O'Neal,onealsh01,West,2002,NBA,TRUE,Boston Celtics
Gary Payton,paytoga01,West,2002,NBA,FALSE,Miami Heat
Peja Stojaković,stojape01,West,2002,NBA,FALSE,
Wally Szczerbiak,szczewa02,West,2002,NBA,FALSE,Cleveland Cavaliers
Chris Webber,webbech01,West,2002,NBA,FALSE,Golden State Warriors
Ray Allen,allenra02,East,2001,NBA,FALSE,Miami Heat
Vince Carter,cartevi01,East,2001,NBA,FALSE,Atlanta Hawks
Antonio Davis,davisan01,East,2001,NBA,TRUE,
Grant Hill,hillgr01,East,2001,NBA,TRUE,Los Angeles Clippers
Allan Houston,houstal01,East,2001,NBA,FALSE,New York Knicks
Allen Iverson,iversal01,East,2001,NBA,FALSE,
Stephon Marbury,marbust01,East,2001,NBA,FALSE,Boston Celtics
Anthony Mason,masonan01,East,2001,NBA,FALSE,Milwaukee Bucks
Tracy McGrady,mcgratr01,East,2001,NBA,FALSE,Atlanta Hawks
Alonzo Mourning,mournal01,East,2001,NBA,TRUE,Miami Heat
Dikembe Mutombo,mutomdi01,East,2001,NBA,TRUE,Houston Rockets
Theo Ratliff,ratlith01,East,2001,NBA,TRUE,Los Angeles Lakers
Glenn Robinson,robingl01,East,2001,NBA,FALSE,San Antonio Spurs
Latrell Sprewell,sprewla01,East,2001,NBA,TRUE,Minnesota Timberwolves
Jerry Stackhouse,stackje01,East,2001,NBA,FALSE,Brooklyn Nets
Kobe Bryant,bryanko01,West,2001,NBA,FALSE,Los Angeles Lakers
Vlade Divac,divacvl01,West,2001,NBA,TRUE,Los Angeles Lakers
Tim Duncan,duncati01,West,2001,NBA,FALSE,San Antonio Spurs
Michael Finley,finlemi01,West,2001,NBA,FALSE,
Kevin Garnett,garneke01,West,2001,NBA,FALSE,Minnesota Timberwolves
Jason Kidd,kiddja01,West,2001,NBA,FALSE,New York Knicks
Karl Malone,malonka01,West,2001,NBA,FALSE,Los Angeles Lakers
Antonio McDyess,mcdyean01,West,2001,NBA,FALSE,San Antonio Spurs
Shaquille O'Neal,onealsh01,West,2001,NBA,TRUE,Boston Celtics
Gary Payton,paytoga01,West,2001,NBA,FALSE,Miami Heat
David Robinson,robinda01,West,2001,NBA,FALSE,San Antonio Spurs
Rasheed Wallace,wallara01,West,2001,NBA,FALSE,New York Knicks
Chris Webber,webbech01,West,2001,NBA,FALSE,Golden State Warriors
Ray Allen,allenra02,East,2000,NBA,FALSE,Miami Heat
Vince Carter,cartevi01,East,2000,NBA,FALSE,Atlanta Hawks
Dale Davis,davisda01,East,2000,NBA,FALSE,Detroit Pistons
Grant Hill,hillgr01,East,2000,NBA,FALSE,Los Angeles Clippers
Allan Houston,houstal01,East,2000,NBA,FALSE,New York Knicks
Allen Iverson,iversal01,East,2000,NBA,FALSE,
Eddie Jones,jonesed02,East,2000,NBA,FALSE,Dallas Mavericks
Reggie Miller,millere01,East,2000,NBA,FALSE,Indiana Pacers
Alonzo Mourning,mournal01,East,2000,NBA,FALSE,Miami Heat
Dikembe Mutombo,mutomdi01,East,2000,NBA,FALSE,Houston Rockets
Glenn Robinson,robingl01,East,2000,NBA,FALSE,San Antonio Spurs
Jerry Stackhouse,stackje01,East,2000,NBA,FALSE,Brooklyn Nets
Kobe Bryant,bryanko01,West,2000,NBA,FALSE,Los Angeles Lakers
Tim Duncan,duncati01,West,2000,NBA,FALSE,San Antonio Spurs
Michael Finley,finlemi01,West,2000,NBA,FALSE,
Kevin Garnett,garneke01,West,2000,NBA,FALSE,Minnesota Timberwolves
Jason Kidd,kiddja01,West,2000,NBA,FALSE,New York Knicks
Karl Malone,malonka01,West,2000,NBA,FALSE,Los Angeles Lakers
Shaquille O'Neal,onealsh01,West,2000,NBA,FALSE,Boston Celtics
Gary Payton,paytoga01,West,2000,NBA,FALSE,Miami Heat
David Robinson,robinda01,West,2000,NBA,FALSE,San Antonio Spurs
John Stockton,stockjo01,West,2000,NBA,FALSE,Utah Jazz
Rasheed Wallace,wallara01,West,2000,NBA,FALSE,New York Knicks
Chris Webber,webbech01,West,2000,NBA,FALSE,Golden State Warriors
Anfernee Hardaway,hardaan01,East,1998,NBA,FALSE,Miami Heat
Tim Hardaway,hardati01,East,1998,NBA,FALSE,Indiana Pacers
Grant Hill,hillgr01,East,1998,NBA,FALSE,Los Angeles Clippers
Michael Jordan,jordami01,East,1998,NBA,FALSE,Washington Wizards
Shawn Kemp,kempsh01,East,1998,NBA,FALSE,Orlando Magic
Reggie Miller,millere01,East,1998,NBA,FALSE,Indiana Pacers
Dikembe Mutombo,mutomdi01,East,1998,NBA,FALSE,Houston Rockets
Glen Rice,ricegl01,East,1998,NBA,FALSE,Los Angeles Clippers
Steve Smith,smithst01,East,1998,NBA,FALSE,
Rik Smits,smitsri01,East,1998,NBA,FALSE,Indiana Pacers
Antoine Walker,walkean02,East,1998,NBA,FALSE,Minnesota Timberwolves
Jayson Williams,willija01,East,1998,NBA,FALSE,New Jersey Nets
Vin Baker,bakervi01,West,1998,NBA,FALSE,Los Angeles Clippers
Kobe Bryant,bryanko01,West,1998,NBA,FALSE,Los Angeles Lakers
Tim Duncan,duncati01,West,1998,NBA,FALSE,San Antonio Spurs
Kevin Garnett,garneke01,West,1998,NBA,FALSE,Minnesota Timberwolves
Eddie Jones,jonesed02,West,1998,NBA,FALSE,Dallas Mavericks
Jason Kidd,kiddja01,West,1998,NBA,FALSE,New York Knicks
Karl Malone,malonka01,West,1998,NBA,FALSE,Los Angeles Lakers
Shaquille O'Neal,onealsh01,West,1998,NBA,FALSE,Boston Celtics
Gary Payton,paytoga01,West,1998,NBA,FALSE,Miami Heat
Mitch Richmond,richmmi01,West,1998,NBA,FALSE,Los Angeles Lakers
David Robinson,robinda01,West,1998,NBA,FALSE,San Antonio Spurs
Nick Van Exel,vanexni01,West,1998,NBA,FALSE,San Antonio Spurs
Vin Baker,bakervi01,East,1997,NBA,FALSE,Los Angeles Clippers
Terrell Brandon,brandte01,East,1997,NBA,FALSE,Minnesota Timberwolves
Joe Dumars,dumarjo01,East,1997,NBA,TRUE,Detroit Pistons
Patrick Ewing,ewingpa01,East,1997,NBA,TRUE,Orlando Magic
Anfernee Hardaway,hardaan01,East,1997,NBA,FALSE,Miami Heat
Tim Hardaway,hardati01,East,1997,NBA,FALSE,Indiana Pacers
Grant Hill,hillgr01,East,1997,NBA,FALSE,Los Angeles Clippers
Michael Jordan,jordami01,East,1997,NBA,FALSE,Washington Wizards
Christian Laettner,laettch01,East,1997,NBA,FALSE,Miami Heat
Alonzo Mourning,mournal01,East,1997,NBA,TRUE,Miami Heat
Dikembe Mutombo,mutomdi01,East,1997,NBA,FALSE,Houston Rockets
Scottie Pippen,pippesc01,East,1997,NBA,FALSE,Chicago Bulls
Glen Rice,ricegl01,East,1997,NBA,FALSE,Los Angeles Clippers
Chris Webber,webbech01,East,1997,NBA,TRUE,Golden State Warriors
Charles Barkley,barklch01,West,1997,NBA,TRUE,Houston Rockets
Clyde Drexler,drexlcl01,West,1997,NBA,TRUE,Houston Rockets
Kevin Garnett,garneke01,West,1997,NBA,TRUE,Minnesota Timberwolves
Chris Gatling,gatlich01,West,1997,NBA,TRUE,Miami Heat
Tom Gugliotta,guglito01,West,1997,NBA,FALSE,
Eddie Jones,jonesed02,West,1997,NBA,FALSE,Dallas Mavericks
Shawn Kemp,kempsh01,West,1997,NBA,FALSE,Orlando Magic
Karl Malone,malonka01,West,1997,NBA,FALSE,Los Angeles Lakers
Hakeem Olajuwon,olajuha01,West,1997,NBA,FALSE,Toronto Raptors
Shaquille O'Neal,onealsh01,West,1997,NBA,TRUE,Boston Celtics
Gary Payton,paytoga01,West,1997,NBA,FALSE,Miami Heat
Mitch Richmond,richmmi01,West,1997,NBA,FALSE,Los Angeles Lakers
Detlef Schrempf ,schrede01,West,1997,NBA,TRUE,Portland Trail Blazers
Latrell Sprewell,sprewla01,West,1997,NBA,FALSE,Minnesota Timberwolves
John Stockton,stockjo01,West,1997,NBA,FALSE,Utah Jazz
Vin Baker,bakervi01,East,1996,NBA,FALSE,Los Angeles Clippers
Terrell Brandon,brandte01,East,1996,NBA,FALSE,Minnesota Timberwolves
Patrick Ewing,ewingpa01,East,1996,NBA,FALSE,Orlando Magic
Anfernee Hardaway,hardaan01,East,1996,NBA,FALSE,Miami Heat
Grant Hill,hillgr01,East,1996,NBA,FALSE,Los Angeles Clippers
Juwan Howard,howarju01,East,1996,NBA,FALSE,Miami Heat
Michael Jordan,jordami01,East,1996,NBA,FALSE,Washington Wizards
Reggie Miller,millere01,East,1996,NBA,FALSE,Indiana Pacers
Alonzo Mourning,mournal01,East,1996,NBA,FALSE,Miami Heat
Shaquille O'Neal,onealsh01,East,1996,NBA,FALSE,Boston Celtics
Scottie Pippen,pippesc01,East,1996,NBA,FALSE,Chicago Bulls
Glen Rice,ricegl01,East,1996,NBA,FALSE,Los Angeles Clippers
Charles Barkley,barklch01,West,1996,NBA,FALSE,Houston Rockets
Clyde Drexler,drexlcl01,West,1996,NBA,FALSE,Houston Rockets
Sean Elliott,elliose01,West,1996,NBA,FALSE,San Antonio Spurs
Shawn Kemp,kempsh01,West,1996,NBA,FALSE,Orlando Magic
Jason Kidd,kiddja01,West,1996,NBA,FALSE,New York Knicks
Karl Malone,malonka01,West,1996,NBA,FALSE,Los Angeles Lakers
Dikembe Mutombo,mutomdi01,West,1996,NBA,FALSE,Houston Rockets
Hakeem Olajuwon,olajuha01,West,1996,NBA,FALSE,Toronto Raptors
Gary Payton,paytoga01,West,1996,NBA,FALSE,Miami Heat
Mitch Richmond,richmmi01,West,1996,NBA,FALSE,Los Angeles Lakers
David Robinson,robinda01,West,1996,NBA,FALSE,San Antonio Spurs
John Stockton,stockjo01,West,1996,NBA,FALSE,Utah Jazz
Vin Baker,bakervi01,East,1995,NBA,FALSE,Los Angeles Clippers
Dana Barros,barroda01,East,1995,NBA,FALSE,Boston Celtics
Joe Dumars,dumarjo01,East,1995,NBA,FALSE,Detroit Pistons
Patrick Ewing,ewingpa01,East,1995,NBA,FALSE,Orlando Magic
Anfernee Hardaway,hardaan01,East,1995,NBA,FALSE,Miami Heat
Grant Hill,hillgr01,East,1995,NBA,FALSE,Los Angeles Clippers
Tyrone Hill,hillty01,East,1995,NBA,FALSE,Miami Heat
Larry Johnson,johnsla02,East,1995,NBA,FALSE,New York Knicks
Reggie Miller,millere01,East,1995,NBA,FALSE,Indiana Pacers
Alonzo Mourning,mournal01,East,1995,NBA,FALSE,Miami Heat
Shaquille O'Neal,onealsh01,East,1995,NBA,FALSE,Boston Celtics
Scottie Pippen,pippesc01,East,1995,NBA,FALSE,Chicago Bulls
Charles Barkley,barklch01,West,1995,NBA,FALSE,Houston Rockets
Cedric Ceballos,cebalce01,West,1995,NBA,TRUE,
Shawn Kemp,kempsh01,West,1995,NBA,FALSE,Orlando Magic
Dan Majerle,majerda01,West,1995,NBA,FALSE,Phoenix Suns
Karl Malone,malonka01,West,1995,NBA,FALSE,Los Angeles Lakers
Dikembe Mutombo,mutomdi01,West,1995,NBA,TRUE,Houston Rockets
Hakeem Olajuwon,olajuha01,West,1995,NBA,FALSE,Toronto Raptors
Gary Payton,paytoga01,West,1995,NBA,FALSE,Miami Heat
Mitch Richmond,richmmi01,West,1995,NBA,FALSE,Los Angeles Lakers
David Robinson,robinda01,West,1995,NBA,FALSE,San Antonio Spurs
Detlef Schrempf,schrede01,West,1995,NBA,FALSE,Portland Trail Blazers
Latrell Sprewell,sprewla01,West,1995,NBA,FALSE,Minnesota Timberwolves
John Stockton,stockjo01,West,1995,NBA,FALSE,Utah Jazz
Kenny Anderson,anderke01,East,1994,NBA,FALSE,
B.J. Armstrong,armstbj01,East,1994,NBA,FALSE,Chicago Bulls
Mookie Blaylock,blaylmo01,East,1994,NBA,FALSE,Golden State Warriors
Derrick Coleman,colemde01,East,1994,NBA,FALSE,Detroit Pistons
Patrick Ewing,ewingpa01,East,1994,NBA,FALSE,Orlando Magic
Horace Grant,grantho01,East,1994,NBA,FALSE,Los Angeles Lakers
