college,1-5,6-10,11-15,16-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60
Providence,4,2,3,1,4,2,3,0,3,2,5,14
Purdue,4,6,0,0,0,3,5,3,2,3,2,21
Quinnipiac University,0,0,0,0,0,0,0,0,0,0,0,2
Randolph-Macon College,0,0,0,0,0,0,0,0,0,0,0,2
Regis University,0,0,0,0,0,0,0,0,0,0,0,2
Rhode Island,1,0,0,0,2,0,0,0,3,1,0,9
Rice University,0,1,0,1,1,2,0,1,0,1,0,4
Richmond,0,0,0,0,0,1,1,0,0,0,1,10
Rider University,0,0,1,0,0,0,0,0,0,0,0,1
Ripon College,0,0,0,0,0,0,0,0,0,0,0,1
Roanoke College,0,0,0,0,0,0,0,0,0,0,0,1
Robert Morris University (PA),0,0,0,0,0,0,0,0,0,0,0,3
Rochester Institute of Technology,0,0,0,0,0,0,0,0,0,0,0,1
Rockhurst University,0,0,0,0,0,0,0,0,0,0,0,8
Rocky Mountain College,0,0,0,0,0,0,0,0,0,0,0,2
Rutgers University,2,1,0,3,0,0,1,2,0,2,0,11
Rutgers University-Camden,0,0,0,0,0,0,0,0,0,0,0,1
SE Missouri State,0,0,0,0,0,0,0,0,0,0,0,3
SMU,2,0,0,0,1,0,2,2,2,1,2,12
SUNY Cortland,0,0,0,0,0,0,0,0,0,0,0,1
Sacramento State,0,0,0,0,0,0,0,0,0,0,0,1
Sacred Heart University,0,0,0,0,0,0,0,0,0,0,0,3
Saint Anselm College,0,0,0,0,0,0,0,0,0,0,0,0
Saint Augustine's College,0,0,0,0,0,0,0,0,0,0,0,4
Saint Francis University,1,0,1,0,0,0,2,1,1,0,0,5
Saint Joseph's,0,2,0,3,3,5,3,1,1,1,1,12
Saint Joseph's College,0,0,0,0,0,0,0,0,0,0,0,1
Saint Leo University,0,0,0,0,0,0,0,0,0,0,0,1
Saint Louis,1,2,0,0,4,0,0,0,3,3,1,10
Saint Mary of the Plains College,0,0,0,0,1,0,0,0,0,0,0,2
Saint Mary's,0,1,0,0,1,0,1,0,0,0,1,8
Saint Mary's University,0,0,0,0,0,0,0,0,0,0,0,2
Saint Michael's College,0,0,0,0,0,0,0,1,1,0,0,1
Saint Paul's College,0,0,0,0,0,0,0,0,0,0,1,0
Saint Peter's College,0,0,0,0,0,0,1,0,2,1,1,7
Salem University,0,0,0,0,0,0,0,0,0,0,0,1
Sam Houston State University,0,0,0,0,0,0,0,0,1,0,0,4
Samford University,0,0,0,0,0,0,0,0,0,0,0,2
San Diego State,0,0,2,0,0,1,1,0,2,1,2,16
San Francisco,3,2,7,1,2,2,1,2,0,1,0,18
San Francisco State University,0,0,0,0,0,0,0,0,0,0,0,3
San Jose State,0,1,1,1,0,0,0,1,0,0,0,7
Santa Clara,1,1,3,1,0,0,1,0,0,3,1,18
Savannah State University,0,0,0,0,0,0,0,0,0,0,0,3
Seattle Pacific University,0,0,0,0,0,0,0,0,0,0,0,1
Seattle University,2,1,1,1,0,0,1,1,2,0,3,14
Seton Hall,1,3,3,2,2,1,0,0,2,1,2,10
Seward County Community College,0,0,0,0,0,0,0,0,0,1,0,0
Shaw,0,0,0,0,0,0,0,0,1,0,0,7
Shaw College (MI),0,0,0,0,0,0,0,0,0,0,0,2
Shepherd College,0,0,0,0,0,0,0,0,0,0,0,1
Siena College,0,0,0,0,0,0,0,0,1,0,0,2
Simon Fraser University,0,0,0,0,0,0,0,0,0,0,0,1
Sir George Williams University,0,0,0,0,0,0,0,0,0,0,0,1
Slippery Rock University of Pennsylvania,0,0,0,0,0,0,1,0,0,0,0,0
South Carolina,0,3,4,2,2,1,3,2,2,4,1,19
South Carolina State,0,0,0,0,0,0,0,0,0,0,0,5
South Dakota,0,0,0,0,0,0,0,0,0,0,0,1
South Dakota State,0,0,0,0,0,0,0,1,1,1,0,4
South Florida,0,0,0,0,1,0,1,0,0,0,1,6
Southeastern Illinois College,0,0,0,0,0,0,1,0,0,0,0,0
Southeastern Louisiana University,0,0,0,0,0,0,0,0,0,0,0,1
Southeastern Oklahoma State University,0,0,0,1,0,1,0,1,0,0,0,1
Southern Illinois,1,0,1,0,1,2,0,0,0,0,1,11
Southern Indiana,0,0,0,0,0,0,0,0,0,0,0,2
Southern Miss,0,1,0,0,1,0,0,0,0,0,2,4
Southern Nazarene University,0,0,0,0,0,0,0,0,0,0,0,2
Southern New Hampshire University,0,0,0,0,0,0,0,0,0,0,0,1
Southern University and A&M College,0,0,0,1,0,0,1,1,1,0,1,9
Southern Utah University,0,0,0,0,0,0,0,0,0,0,0,1
Southwestern College,0,0,0,0,0,0,0,1,0,0,0,1
Southwestern Oklahoma State University,0,0,0,0,0,1,0,0,0,0,0,0
Southwstern University,0,0,0,0,0,0,0,0,0,0,0,1
Spring Hill College,0,0,0,0,0,0,0,0,0,0,0,1
Springfield College,0,0,0,0,0,0,0,0,0,0,0,3
St. Ambrose University,0,0,0,0,0,0,0,0,0,0,1,0
St. Bonaventure,3,0,1,1,0,2,1,1,3,0,0,17
St. Cloud State University,0,0,0,0,0,0,0,0,0,0,0,1
St. Francis College,0,0,0,0,1,0,0,0,2,0,0,6
St. John Fisher College,0,0,0,0,0,0,0,0,0,0,0,1
St. John's,1,4,8,3,5,6,3,2,1,2,2,23
St. Mary's College of Maryland,0,0,0,0,0,0,0,0,0,0,0,2
St. Mary's University,0,0,0,0,0,0,0,1,0,0,0,6
St. Thomas University,0,0,0,0,0,0,0,0,0,0,0,3
Stanford,0,6,2,4,2,3,3,2,5,1,2,12
State University of New York at Brockport,0,0,0,0,0,0,0,0,0,0,0,4
State University of New York at Potsdam,0,0,0,0,0,0,0,0,0,0,0,2
Stephen F. Austin,0,1,0,0,0,0,0,0,1,0,0,6
Stetson University,0,0,0,0,0,1,0,1,0,0,0,5
Stonehill College,0,0,0,0,0,0,0,0,0,0,0,2
Suffolk University,0,0,0,0,0,0,0,0,0,0,0,1
Sul Ross State University,0,0,0,0,0,0,0,0,0,0,0,1
Swarthmore College,0,0,0,0,0,0,0,0,0,0,0,1
Syracuse,6,2,5,5,7,6,2,9,1,2,3,19
TCU,0,1,0,1,0,3,2,0,1,0,0,10
Taylor University,0,0,0,0,0,0,0,0,0,0,0,1
Temple,2,4,2,2,1,3,1,3,0,2,3,12
Tennessee,1,2,5,2,4,4,5,4,2,1,1,24
Tennessee State,1,1,1,0,4,1,3,0,1,1,1,9
Tennessee Technological University,0,0,0,1,0,0,0,1,0,2,1,4
Tennessee Wesleyan College,0,0,0,0,0,0,0,0,0,0,0,1
Texas,4,7,2,3,2,3,3,1,4,2,2,16
Texas A&M,0,0,2,1,0,1,1,3,1,1,1,17
Texas Southern,0,1,0,0,0,1,0,0,0,0,0,5
Texas State University,0,0,0,0,1,0,1,1,0,0,0,3
Texas Tech,1,1,0,1,1,0,1,0,3,3,1,12
Texas Wesleyan University,1,0,0,0,0,0,0,0,0,0,0,0
Texas-El Paso,1,1,1,1,1,1,2,1,3,4,0,13
Texas-San Antonio,0,0,0,0,0,0,0,0,0,0,0,2
The Citadel,0,0,0,0,0,0,0,0,1,0,0,1
Thomas More College,0,0,0,0,0,0,0,0,0,0,0,3
Toledo,0,0,0,0,1,2,0,5,2,1,1,8
Tougaloo College,0,0,0,0,0,0,0,0,0,0,0,1
Towson University,0,0,0,0,0,0,0,0,0,0,0,3
Transylvania University,0,0,0,0,0,0,0,0,0,0,0,1
Trenton State University,0,0,0,0,0,0,0,0,0,0,1,1
Trinity University,0,0,0,0,0,0,0,0,0,0,0,3
Trinity Valley CC,0,0,0,1,0,0,0,0,0,0,0,0
Truman State University,0,0,0,1,0,0,0,0,0,0,0,2
Tufts University,0,0,0,0,0,0,0,0,0,0,0,1
Tulane,0,0,0,2,0,1,1,1,2,2,1,8
Tulsa,0,1,2,2,1,0,1,1,3,0,2,21
Tuskegee University,0,0,0,0,0,0,0,0,0,1,0,3
UAB,0,0,0,0,1,0,1,1,0,1,1,13
UC San Diego,0,0,0,0,0,0,0,0,0,0,0,1
UC Santa Barbara,0,0,0,0,1,0,1,2,0,0,0,10
UC-Davis,0,0,0,0,0,0,0,0,0,0,0,1
UCLA,13,5,9,7,8,9,5,4,7,9,6,46
UConn,7,7,4,1,4,3,3,7,0,3,3,12
UMBC,0,0,0,0,0,0,0,0,0,0,0,2
UMass,1,0,1,0,0,1,0,0,0,2,1,11
UNC,18,9,16,4,6,9,1,3,3,4,4,39
UNC Charlotte,0,1,1,0,1,0,0,2,1,1,0,8
UNC Wilmington,0,0,0,0,0,0,1,0,0,1,0,4
UNLV,5,3,4,2,3,2,2,1,1,1,0,29
USC,2,3,5,5,2,4,2,5,2,4,1,27
USC Upstate,0,0,0,0,0,0,0,0,1,0,0,0
UT Arlington,0,0,0,0,0,0,0,0,0,0,0,4
UW-Milwaukee,0,0,0,0,0,1,0,0,0,0,1,2
Union College,0,0,0,0,0,0,0,0,0,0,0,1
Union University,0,0,0,0,0,0,0,0,0,0,0,0
United States Military Academy,0,0,0,0,0,0,0,0,0,0,0,3
United States Naval Academy,1,0,0,0,0,0,1,0,0,0,0,3
University of Akron,0,0,0,0,0,1,0,0,0,1,0,6
University of Alaska Anchorage,0,0,0,0,0,0,0,0,0,0,0,2
University of Albuquerque,0,0,0,0,0,0,0,0,0,0,0,1
University of Arkansas at Pine Bluff,0,0,0,1,0,0,0,1,0,0,0,3
University of Baltimore,0,0,0,0,0,1,0,0,0,0,0,1
University of Bridgeport,0,0,0,0,0,0,1,0,0,0,0,0
University of British Columbia,0,0,0,0,0,0,0,0,0,0,0,1
University of Calgary,0,0,0,0,0,0,0,0,0,0,0,1
"University of California, Irvine",0,0,0,0,0,0,1,1,0,1,1,7
"University of California, Riverside",0,0,0,0,0,0,0,0,0,0,0,7
University of Central Arkansas,1,0,0,0,0,0,0,0,0,0,0,0
University of Charleston,0,0,0,0,0,0,0,0,0,0,0,1
University of Delaware,0,0,0,0,0,1,0,0,0,0,1,5
University of Evansville,0,1,0,0,1,0,1,1,2,1,0,7
University of Great Falls,0,0,0,0,0,0,0,0,0,0,0,1
University of Hartford,0,1,0,0,0,0,0,0,0,0,0,1
University of Illinois at Chicago,0,0,0,0,0,1,0,0,0,0,0,2
University of Indianapolis,0,0,0,0,0,0,0,0,0,0,0,1
University of La Verne,0,0,0,0,0,0,0,0,0,0,0,1
University of Lethbridge,0,0,0,0,0,0,0,0,0,0,0,1
University of Maine,0,0,0,0,0,0,0,0,0,0,0,7
University of Maryland Eastern Shore,0,0,0,1,0,0,0,1,1,0,0,3
University of Massachusetts Boston,0,0,0,0,0,0,0,0,0,0,0,1
University of Massachusetts Dartmouth,0,0,0,0,0,0,0,0,0,0,0,1
University of Massachusetts Lowell,0,0,0,0,0,0,0,0,0,0,0,1
University of Minnesota Morris,0,0,0,0,0,0,0,0,0,0,0,1
University of Missouri-Rolla,0,0,0,0,0,0,0,0,0,0,0,1
University of Nebraska at Kearney,0,0,0,0,0,0,0,0,0,1,0,2
University of New Hampshire,0,0,0,0,0,0,0,0,0,0,0,2
University of New Haven,0,0,0,0,0,0,0,0,0,0,0,2
University of North Alabama,0,0,0,0,0,0,0,0,0,0,0,1
University of North Carolina at Pembroke,0,0,0,0,0,0,0,0,0,0,0,1
University of North Dakota,0,0,0,1,0,0,1,0,0,0,0,2
University of North Texas,0,0,0,0,0,0,1,2,1,1,0,13
University of Northern Iowa,0,0,0,0,0,1,0,0,0,0,0,1
University of Portland,1,0,0,0,0,0,0,0,1,0,0,9
University of Puget Sound,0,0,0,0,0,0,0,0,0,0,0,6
University of Rio Grande,0,0,0,0,1,0,0,0,0,0,0,1
University of Rochester,0,0,0,0,0,0,0,0,0,0,0,1
University of San Diego,0,0,0,0,0,0,0,0,0,0,0,5
University of Scranton,0,0,0,0,0,0,1,0,0,1,0,1
University of South Alabama,0,0,0,0,1,1,0,0,0,1,1,11
University of Southern Colorado,0,0,0,0,0,0,0,0,0,0,0,2
University of St. Thomas,0,0,0,0,0,0,0,1,0,0,0,0
University of Tampa,0,0,0,0,0,0,0,0,0,0,0,2
University of Tennessee at Martin,0,0,0,0,0,0,0,0,0,0,0,1
University of Texas Rio Grande Valley,1,1,0,0,0,2,3,0,0,1,1,10
University of Vermont,0,1,0,0,0,0,0,0,0,0,0,0
University of West Alabama,0,0,0,0,0,0,0,0,0,0,0,1
University of West Florida,0,0,0,0,0,0,1,0,0,0,0,0
University of Wisconsin-Eau Claire,0,0,0,0,0,1,0,0,0,0,1,7
University of Wisconsin-LaCrosse,0,0,0,0,0,0,0,0,0,0,0,1
University of Wisconsin-Oshkosh,0,0,0,0,0,0,0,0,0,0,0,1
University of Wisconsin-Parkside,0,0,0,0,0,0,0,0,0,1,0,1
University of Wisconsin-Stevens Point,0,0,0,0,1,0,0,0,0,0,0,1
University of Wisconsin-Stout,0,0,0,0,0,0,0,0,0,0,0,2
University of the District of Columbia,0,0,0,0,1,0,1,0,0,0,0,0
University of the Pacific,1,0,0,2,0,0,0,1,0,1,1,11
Upper Iowa University,0,0,0,0,0,0,0,0,0,0,0,1
Upsala College,0,0,0,0,0,0,0,0,0,0,0,2
Utah,4,6,2,1,2,4,0,1,2,0,3,16
Utah State University,0,0,1,0,0,1,0,2,3,2,1,13
VCU,0,0,1,1,0,3,1,0,0,1,1,14
Valdosta State University,0,0,0,0,0,0,0,0,0,0,0,4
Valley City State University,0,0,0,0,0,0,0,0,0,0,0,1
Valparaiso,0,0,0,1,0,1,0,0,0,0,1,3
Vanderbilt,2,0,2,3,1,3,5,3,2,1,3,18
Vanguard University of Southern California,0,0,0,0,0,0,0,0,0,0,0,1
Villanova,1,8,0,10,3,5,5,2,3,2,1,21
Virginia,3,1,3,2,2,2,4,2,4,1,3,16
Virginia Military Institute,0,0,0,0,0,1,0,1,0,0,0,2
Virginia State University,0,0,0,0,0,0,0,0,0,0,1,3
Virginia Tech,0,0,1,2,1,0,1,1,0,2,2,17
Virginia Union University,0,1,1,0,0,0,0,1,1,2,0,2
Voorhees College,0,0,0,0,0,0,0,0,0,0,1,1
Wabash College,0,0,0,0,0,0,0,0,0,0,0,1
Wagner College,0,0,0,0,0,0,0,0,1,0,0,2
Wake Forest,3,3,4,7,0,1,0,3,2,1,2,15
Walsh University,0,0,0,0,0,0,0,0,0,0,1,0
Washington,2,5,1,4,3,4,2,4,1,5,2,24
Washington & Jefferson College,0,0,0,0,0,0,0,0,0,0,0,0
Washington & Lee University,0,0,0,0,0,0,1,1,0,0,0,1
Washington State,0,0,2,2,1,0,2,3,1,4,1,16
Washington University in Saint Louis,0,0,0,0,0,0,0,0,0,1,0,0
Wayne State College,0,0,0,0,0,0,0,0,0,0,0,2
Wayne State University,0,0,0,0,0,1,0,0,0,0,0,1
Weber State,0,1,1,1,0,1,1,0,1,0,2,9
West Georgia,0,0,0,0,0,0,0,1,0,0,0,5
West Liberty State College,0,0,0,0,0,0,0,0,0,0,0,1
West Texas A&M University,0,0,0,1,0,0,1,1,1,0,0,9
West Virginia,4,2,1,1,0,0,1,1,3,3,4,16
West Virginia State University,0,0,0,0,1,0,1,0,0,0,0,3
West Virginia Tech,0,0,0,0,0,0,0,0,1,0,0,3
West Virginia Wesleyan College,0,0,0,0,0,1,0,0,0,0,0,4
Western Carolina University,0,0,0,1,0,1,0,2,0,1,0,4
Western Illinois University,0,0,0,0,1,0,0,0,0,0,0,1
Western Kentucky,1,4,3,1,5,4,2,0,1,2,4,17
Western Michigan,0,0,0,0,0,0,0,1,0,0,1,9
Western New Mexico University,0,0,0,0,0,0,0,0,0,0,0,1
Western Oregon University,0,0,0,0,0,0,0,0,0,0,0,2
Westmar University,0,0,0,0,0,0,0,0,0,0,0,1
Westminster College of Pennsylvania,0,0,0,0,0,0,0,1,0,0,1,2
Westmont College,0,0,0,0,0,0,0,0,0,0,0,2
Wheaton College,0,0,0,0,0,0,0,0,0,0,2,4
Whittier College,0,0,0,0,0,0,0,0,0,0,0,1
Whitworth,0,1,0,0,0,0,0,0,1,0,0,1
Wichita State,2,3,0,1,0,1,2,1,1,1,2,9
Widener University,0,0,0,0,0,0,0,0,0,0,0,2
Wilberforce University,0,0,0,0,0,0,0,0,0,0,0,1
Wiley College,0,0,0,0,0,0,0,0,0,0,0,3
Willamette University,0,0,0,0,0,0,0,0,0,0,0,1
William & Mary,0,0,0,0,1,0,0,1,2,1,0,3
William Carey College,0,0,0,0,0,0,0,0,0,0,0,1
William Paterson University,0,0,0,0,0,0,0,0,0,0,0,1
Williams,0,0,0,0,0,0,0,0,0,0,0,1
Wilmington College,0,0,0,0,0,0,0,0,0,0,0,1
Windham College,0,0,0,0,0,0,0,0,0,0,0,1
Winona State University,0,0,0,0,0,0,0,0,0,0,0,1
Winston-Salem State,1,1,0,0,0,0,0,0,0,1,1,10
Wisconsin,3,2,2,2,1,2,0,2,2,1,1,20
Wisconsin-River Falls,0,0,0,0,0,0,0,0,0,0,0,2
Wittenberg University,0,0,0,0,0,0,0,0,0,0,1,3
Wofford College,0,1,0,0,0,0,0,0,0,0,0,1
Wright State University,0,0,1,0,0,0,0,0,0,0,0,2
Wyoming,1,1,1,4,1,2,1,2,0,0,1,13
Xavier,0,1,1,4,1,2,3,2,0,2,3,17
Xavier University of Louisiana,0,0,0,0,1,0,0,0,0,0,0,0
Yale,0,0,0,2,0,0,0,0,0,1,0,5
Yankton College,0,0,0,0,0,0,0,0,0,0,0,1
Yeshiva University,0,0,0,0,0,0,0,0,0,0,0,1
York College of Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0
Youngstown State University,0,0,0,0,0,0,0,0,0,0,0,5
